Sample Number (10000 samples per second),LoadCell (),X1 (),X2 (),X3 (),EPOSPosition (),EPOSCurrent (),Encoder (),Time (ms)
0,48502.28,31.29,2.14,-820.61,3.0,10.0,0.0,136843.0
1,48518.25,31.3,-1.97,703.32,3.0,65533.0,0.0,136893.0
2,9.0,31.3,-2.06,838.57,3.0,65519.0,0.0,136793.0
3,48502.28,31.29,2.14,-820.61,3.0,10.0,0.0,136843.0
4,48518.25,31.3,-1.97,703.32,3.0,65533.0,0.0,136893.0
5,48498.01,0.0,0.0,1212450.2,0.0,0.0,0.0,320.0
6,48542.32,0.0,6062.25,-1059786.1,3.0,24.0,0.0,344.0
7,48475.16,30.31,763.32,-248927.16,3.0,65533.0,0.0,395.0
8,48555.08,34.13,-481.32,71915.72,3.0,65505.0,0.0,445.0
9,48458.28,31.72,-121.74,27908.69,3.0,10.0,0.0,495.0
10,48568.6,31.11,17.81,1924.51,3.0,65533.0,0.0,545.0
11,48443.61,31.2,27.43,-8258.79,3.0,65533.0,0.0,595.0
12,48566.16,31.34,-13.86,4975.78,3.0,10.0,0.0,647.0
13,48462.1,31.27,11.01,-4268.95,3.0,65519.0,0.0,697.0
14,48571.5,31.32,-10.33,4336.33,3.0,11.0,0.0,747.0
15,48445.21,31.27,11.35,-4949.9,3.0,65533.0,0.0,797.0
16,48564.47,31.33,-13.4,5113.38,3.0,65532.0,0.0,848.0
17,48478.67,31.26,12.17,-4023.24,3.0,11.0,0.0,899.0
18,48534.3,31.32,-7.95,2553.22,3.0,11.0,0.0,949.0
19,48485.93,31.28,4.82,-1903.13,3.0,65506.0,0.0,999.0
20,48533.84,31.31,-4.7,1929.3,3.0,11.0,0.0,1049.0
21,48495.18,31.28,4.95,-1744.53,3.0,65533.0,0.0,1100.0
22,48532.31,31.31,-3.77,1495.7,3.0,10.0,0.0,1150.0
23,48478.3,31.29,3.71,-1927.83,3.0,11.0,0.0,1201.0
24,48544.84,31.31,-5.93,2632.52,3.0,26.0,0.0,1251.0
25,48469.51,31.28,7.23,-3037.01,3.0,65533.0,0.0,1302.0
26,48551.03,31.32,-7.96,3294.82,3.0,10.0,0.0,1352.0
27,48483.8,31.28,8.52,-3022.07,3.0,11.0,0.0,1402.0
28,48533.07,31.32,-6.59,2225.88,3.0,10.0,0.0,1453.0
29,48496.86,31.29,4.54,-1575.59,3.0,65532.0,0.0,1504.0
30,48522.07,31.31,-3.34,1130.18,3.0,65533.0,0.0,1554.0
